1	22	85.33
2	30	80.0
3	22	85.33
4	26	82.66
5	20	86.66
6	22	85.33
7	22	85.33
8	25	83.33
9	25	83.33
10	28	81.33
11	27	82.0
12	29	80.66
13	25	83.33
14	28	81.33
15	26	82.66
16	25	83.33
17	24	84.0
18	26	82.66
19	26	82.66
20	25	83.33
21	28	81.33
22	28	81.33
23	30	80.0
24	28	81.33
25	28	81.33
26	29	80.66
27	29	80.66
28	31	79.33
29	30	80.0
30	30	80.0
31	30	80.0
32	31	79.33
33	31	79.33
34	31	79.33
35	34	77.33
36	33	78.0
37	33	78.0
38	33	78.0
39	32	78.66
40	34	77.33
41	31	79.33
42	33	78.0
43	32	78.66
44	35	76.66
45	34	77.33
46	34	77.33
47	35	76.66
48	34	77.33
49	33	78.0
50	33	78.0
51	34	77.33
52	34	77.33
53	34	77.33
54	35	76.66
55	34	77.33
56	35	76.66
57	34	77.33
58	33	78.0
59	33	78.0
60	35	76.66
