1	85.33
2	80.0
3	85.33
4	82.66
5	86.66
6	85.33
7	85.33
8	83.33
9	83.33
10	81.33
11	82.0
12	80.66
13	83.33
14	81.33
15	82.66
16	83.33
17	84.0
18	82.66
19	82.66
20	83.33
21	81.33
22	81.33
23	80.0
24	81.33
25	81.33
26	80.66
27	80.66
28	79.33
29	80.0
30	80.0
31	80.0
32	79.33
33	79.33
34	79.33
35	77.33
36	78.0
37	78.0
38	78.0
39	78.66
40	77.33
41	79.33
42	78.0
43	78.66
44	76.66
45	77.33
46	77.33
47	76.66
48	77.33
49	78.0
50	78.0
51	77.33
52	77.33
53	77.33
54	76.66
55	77.33
56	76.66
57	77.33
58	78.0
59	78.0
60	76.66
