Code_commune_INSEE;Nom_commune;Code_postal;Libelle_acheminement;Ligne_5
98821;PAITA;98890;PAITA;
98821;PAITA;98889;PAITA;
98814;LIFOU;98885;MOU;LIFOU
98814;LIFOU;98884;CHEPENEHE;LIFOU
98831;VOH;98883;OUACO;VOH
98828;SARRAMEA;98882;SARRAMEA;
98806;FARINO;98881;FARINO;
98813;LA FOA;98880;LA FOA;
98815;MARE;98878;LA ROCHE;MARE
98827;POYA;98877;NEPOUI;POYA
98817;LE MONT DORE;98876;LA COULEE;LE MONT DORE
98817;LE MONT DORE;98875;PLUM;LE MONT DORE
98817;LE MONT DORE;98874;PONT DES FRANCAIS;LE MONT DORE
98803;BOURAIL;98870;BOURAIL;
98811;KONE;98860;KONE;
98811;KONE;98859;KONE;
98812;KOUMAC;98850;KOUMAC;
98821;PAITA;98840;TONTOUTA;PAITA
98805;DUMBEA;98839;DUMBEA;
98808;HOUAILOU;98838;PORO;HOUAILOU
98805;DUMBEA;98837;DUMBEA;
98805;DUMBEA;98836;DUMBEA GA;DUMBEA
98805;DUMBEA;98835;DUMBEA;
98832;YATE;98834;YATE;
98831;VOH;98833;VOH;
98809;L ILE DES PINS;98832;VAO;L ILE DES PINS
98830;TOUHO;98831;TOUHO;
98805;DUMBEA;98830;DUMBEA;
98829;THIO;98829;THIO;
98815;MARE;98828;TADINE;MARE
98827;POYA;98827;POYA;
98826;POUM;98826;POUM;
98825;POUEMBOUT;98825;POUEMBOUT;
98824;POUEBO;98824;POUEBO;
98823;PONERIHOUEN;98823;PONERIHOUEN;
98822;POINDIMIE;98822;POINDIMIE;
98819;OUEGOA;98821;OUEGOA;
98814;LIFOU;98820;WE;LIFOU
98816;MOINDOU;98819;MOINDOU;
98833;KOUAOUA;98818;KOUAOUA;
98810;KAALA GOMEN;98817;KAALA GOMEN;
98808;HOUAILOU;98816;HOUAILOU;
98807;HIENGHENE;98815;HIENGHENE;
98820;OUVEA;98814;FAYAOUE;OUVEA
98804;CANALA;98813;CANALA;
98802;BOULOUPARI;98812;BOULOUPARIS;
98801;BELEP;98811;BELEP;
98817;LE MONT DORE;98810;MONT DORE;
98817;LE MONT DORE;98809;MONT DORE;
98818;NOUMEA;98800;NOUMEA;
98901;ILE DE CLIPPERTON;98799;ILE DE CLIPPERTON;
98723;HIVA OA;98796;MOHOTANI;HIVA OA
98723;HIVA OA;98796;FATU HUKU;HIVA OA
98731;NUKU HIVA;98796;HATUTAA;NUKU HIVA
98731;NUKU HIVA;98796;HATU ITI;NUKU HIVA
98731;NUKU HIVA;98796;EIAO;NUKU HIVA
98743;RIMATARA;98795;MARIA ILOTS;RIMATARA
98741;RAPA;98794;MAROTIRI;RAPA
98719;GAMBIER;98793;MARUTEA SUD;GAMBIER
98719;GAMBIER;98792;MARIA EST;GAMBIER
98719;GAMBIER;98792;MOTUREIVAVAO;GAMBIER
98719;GAMBIER;98792;TENARARO;GAMBIER
98719;GAMBIER;98792;TENARUNGA;GAMBIER
98719;GAMBIER;98792;TEMOE;GAMBIER
98719;GAMBIER;98792;MORANE;GAMBIER
98719;GAMBIER;98792;VAHANGA;GAMBIER
98711;ANAA;98790;TEPUPAHEA;ANAA
98716;FAKARAVA;98790;TOAU;FAKARAVA
98716;FAKARAVA;98790;MOTU TAPU;FAKARAVA
98716;FAKARAVA;98790;OFARE;FAKARAVA
98720;HAO;98790;AMANU;HAO
98720;HAO;98790;MANUHANGI;HAO
98720;HAO;98790;NENGONENGO;HAO
98720;HAO;98790;TEANOGA;HAO
98720;HAO;98790;AHUNUI;HAO
98720;HAO;98790;HEREHRETUE;HAO
98720;HAO;98790;HIKITAKE;HAO
98720;HAO;98790;OTETOU;HAO
98720;HAO;98790;PARAOA;HAO
98721;HIKUERU;98790;MAHETIKA;HIKUERU
98721;HIKUERU;98790;TEPEPERU;HIKUERU
98721;HIKUERU;98790;RAVAHERE;HIKUERU
98721;HIKUERU;98790;MOTUTAPU;HIKUERU
98726;MAKEMO;98790;GARUMAOA;MAKEMO
98726;MAKEMO;98790;HARAIKI;MAKEMO
98726;MAKEMO;98790;HENUAPAREA;MAKEMO
98726;MAKEMO;98790;TEPOTO SUD;MAKEMO
98726;MAKEMO;98790;TUANAKE;MAKEMO
98726;MAKEMO;98790;MARUTEA NORD;MAKEMO
98726;MAKEMO;98790;OTATAKE;MAKEMO
98726;MAKEMO;98790;HITI;MAKEMO
98740;RANGIROA;98790;VAITEPAUA;RANGIROA
98749;TAKAROA;98790;TIKEI;TAKAROA
98726;MAKEMO;98789;HITIANAU;MAKEMO
98732;NUKUTAVAKE;98788;TEMANUFAARA;NUKUTAVAKE
98716;FAKARAVA;98787;TEARAVERO;FAKARAVA
98711;ANAA;98786;HITIANAU;ANAA
98713;ARUTUA;98785;RAITAHITI;ARUTUA
98755;TUREIA;98784;FAKAMARU;TUREIA
98751;TATAKOTO;98783;TUMUKURU;TATAKOTO
98749;TAKAROA;98782;FAKATOPATERE;TAKAROA
98749;TAKAROA;98781;TEAVAROA;TAKAROA
98742;REAO;98780;MARAUTAGAROA;REAO
98742;REAO;98779;TAPUARAVA;REAO
98740;RANGIROA;98778;TUHERAHERA;RANGIROA
98740;RANGIROA;98777;PAHUA;RANGIROA
98740;RANGIROA;98776;TIPUTA;RANGIROA
98740;RANGIROA;98775;AVATORU;RANGIROA
98737;PUKAPUKA;98774;TEONEMAHINA;PUKAPUKA
98732;NUKUTAVAKE;98773;TAVAVA;NUKUTAVAKE
98730;NAPUKA;98772;TEPUKAMARUIA;NAPUKA
98727;MANIHI;98771;TURIPAOA;MANIHI
98727;MANIHI;98770;TENOKUPARA;MANIHI
98726;MAKEMO;98769;POUHEVA;MAKEMO
98721;HIKUERU;98768;TUPAPATI;HIKUERU
98720;HAO;98767;OTEPA;HAO
98717;FANGATAU;98766;TARIONE;FANGATAU
98717;FANGATAU;98765;TEANA;FANGATAU
98716;FAKARAVA;98764;PAPARARA;FAKARAVA
98716;FAKARAVA;98763;ROTOAVA;FAKARAVA
98713;ARUTUA;98762;NIUTAHI;ARUTUA
98713;ARUTUA;98761;RAUTINI;ARUTUA
98711;ANAA;98760;TUUHORA;ANAA
98719;GAMBIER;98755;ANGAKAUITAI;GAMBIER
98719;GAMBIER;98755;AKAMARU;GAMBIER
98719;GAMBIER;98755;KAMAKA;GAMBIER
98719;GAMBIER;98755;RIKITEA;GAMBIER
98719;GAMBIER;98755;MANIUI;GAMBIER
98719;GAMBIER;98755;MAKAROA;GAMBIER
98719;GAMBIER;98755;AUKENA;GAMBIER
98719;GAMBIER;98755;MANGAREVA;GAMBIER
98719;GAMBIER;98755;TARAVAI;GAMBIER
98753;TUBUAI;98754;MATAURA;TUBUAI
98753;TUBUAI;98754;TAAHUAIA;TUBUAI
98753;TUBUAI;98754;MAHU;TUBUAI
98744;RURUTU;98753;HAUTI;RURUTU
98744;RURUTU;98753;AVERA;RURUTU
98744;RURUTU;98753;MOERAI;RURUTU
98743;RIMATARA;98752;ANAPOTO;RIMATARA
98743;RIMATARA;98752;AMARU;RIMATARA
98743;RIMATARA;98752;RIMATARA;
98743;RIMATARA;98752;MUTUAURA;RIMATARA
98741;RAPA;98751;AHUREI;RAPA
98739;RAIVAVAE;98750;MAHANATOA;RAIVAVAE
98739;RAIVAVAE;98750;VAIURU;RAIVAVAE
98739;RAIVAVAE;98750;ANATONU;RAIVAVAE
98739;RAIVAVAE;98750;RAIRUA;RAIVAVAE
98723;HIVA OA;98749;PUAMAU;HIVA OA
98731;NUKU HIVA;98748;HATIHEU;NUKU HIVA
98756;UA HUKA;98747;HANE;UA HUKA
98757;UA POU;98746;HAAKUTI;UA POU
98757;UA POU;98746;HAKAMAII;UA POU
98757;UA POU;98745;HAKAHAU;UA POU
98757;UA POU;98745;HAKAHETAU;UA POU
98757;UA POU;98745;HOHOI;UA POU
98757;UA POU;98745;HAKATAO;UA POU
98756;UA HUKA;98744;VAIPAEE;UA HUKA
98746;TAHUATA;98743;VAITAHU;TAHUATA
98746;TAHUATA;98743;HANATETENA;TAHUATA
98746;TAHUATA;98743;HAPATONI;TAHUATA
98746;TAHUATA;98743;MOTOPU;TAHUATA
98731;NUKU HIVA;98742;NUKUATAHA;NUKU HIVA
98731;NUKU HIVA;98742;TAIOHAE;NUKU HIVA
98731;NUKU HIVA;98742;AAKAPA;NUKU HIVA
98731;NUKU HIVA;98742;TERRE DESERTE;NUKU HIVA
98731;NUKU HIVA;98742;TAIPIVAI;NUKU HIVA
98723;HIVA OA;98741;HANAIAPA;HIVA OA
98723;HIVA OA;98741;EIAONE;HIVA OA
98723;HIVA OA;98741;NAHOE;HIVA OA
98723;HIVA OA;98741;PAUMAU;HIVA OA
98723;HIVA OA;98741;ATUONA;HIVA OA
98723;HIVA OA;98741;HANAPAOA;HIVA OA
98723;HIVA OA;98741;MOTU UA;HIVA OA
98718;FATU HIVA;98740;OMOA;FATU HIVA
98718;FATU HIVA;98740;HANAVAVE;FATU HIVA
98750;TAPUTAPUATEA;98735;OPOA;TAPUTAPUATEA
98750;TAPUTAPUATEA;98735;TAPUTAPUATEA;
98750;TAPUTAPUATEA;98735;AVERA;TAPUTAPUATEA
98750;TAPUTAPUATEA;98735;PUOHINE;TAPUTAPUATEA
98754;TUMARAA;98735;TEHURUI;TUMARAA
98754;TUMARAA;98735;FETUNA;TUMARAA
98754;TUMARAA;98735;TUMARAA;
98754;TUMARAA;98735;TEVAITOA;TUMARAA
98758;UTUROA;98735;UTUROA;
98745;TAHAA;98734;NIUA;TAHAA
98745;TAHAA;98734;POUTORU;TAHAA
98745;TAHAA;98734;VAITOARE;TAHAA
98745;TAHAA;98734;HAAMENE;TAHAA
98745;TAHAA;98734;FAAAHA;TAHAA
98745;TAHAA;98733;IRIPAU;TAHAA
98745;TAHAA;98733;PATIO;TAHAA
98745;TAHAA;98733;TIVA;TAHAA
98745;TAHAA;98733;TAHAA;
98745;TAHAA;98733;HIPU;TAHAA
98745;TAHAA;98733;RUUTIA;TAHAA
98745;TAHAA;98733;TAPUAMU;TAHAA
98724;HUAHINE;98732;AVERA;HUAHINE
98728;MAUPITI;98732;MOTU ONE;MAUPITI
98728;MAUPITI;98732;MOPELIA;MAUPITI
98728;MAUPITI;98732;SCILLY;MAUPITI
98728;MAUPITI;98732;MAUPITI;
98724;HUAHINE;98731;HUAHINE;
98724;HUAHINE;98731;FARE;HUAHINE
98724;HUAHINE;98731;MAEVA;HUAHINE
98724;HUAHINE;98731;FAIE;HUAHINE
98724;HUAHINE;98731;FITII;HUAHINE
98724;HUAHINE;98731;TEFARERII;HUAHINE
98724;HUAHINE;98731;HAAPU;HUAHINE
98724;HUAHINE;98731;MAROE;HUAHINE
98724;HUAHINE;98731;PAREA;HUAHINE
98714;BORA BORA;98730;ANAU;BORA BORA
98714;BORA BORA;98730;FAANUI;BORA BORA
98714;BORA BORA;98730;NUNUE;BORA BORA
98714;BORA BORA;98730;VAITAPE;BORA BORA
98729;MOOREA MAIAO;98729;HAAPITI;MOOREA MAIAO
98729;MOOREA MAIAO;98729;HAURU;MOOREA MAIAO
98729;MOOREA MAIAO;98729;PIHAENA;MOOREA MAIAO
98729;MOOREA MAIAO;98729;TIAHURA;MOOREA MAIAO
98729;MOOREA MAIAO;98729;OPUNOHU;MOOREA MAIAO
98729;MOOREA MAIAO;98729;PAPETOAI;MOOREA MAIAO
98729;MOOREA MAIAO;98729;VARARI;MOOREA MAIAO
98729;MOOREA MAIAO;98729;MAIAO;MOOREA MAIAO
98729;MOOREA MAIAO;98729;ATIHA;MOOREA MAIAO
98729;MOOREA MAIAO;98729;PAOPAO;MOOREA MAIAO
98729;MOOREA MAIAO;98729;VAIANAE;MOOREA MAIAO
98729;MOOREA MAIAO;98728;AFAREAITU;MOOREA MAIAO
98729;MOOREA MAIAO;98728;HAUMI;MOOREA MAIAO
98729;MOOREA MAIAO;98728;MAATEA;MOOREA MAIAO
98729;MOOREA MAIAO;98728;TEAVARO;MOOREA MAIAO
98729;MOOREA MAIAO;98728;TEMAE;MOOREA MAIAO
98729;MOOREA MAIAO;98728;VAIARE;MOOREA MAIAO
98729;MOOREA MAIAO;98728;TIAIA;MOOREA MAIAO
98729;MOOREA MAIAO;98728;PAOPAO;MOOREA MAIAO
98729;MOOREA MAIAO;98728;MAHAREPA;MOOREA MAIAO
98752;TEVA I UTA;98727;PAPEARI;TEVA I UTA
98752;TEVA I UTA;98726;MATAIEA;TEVA I UTA
98748;TAIARAPU OUEST;98725;VAIRAO;TAIARAPU OUEST
98748;TAIARAPU OUEST;98724;TOAHOTU;TAIARAPU OUEST
98748;TAIARAPU OUEST;98723;TEAHUPOO;TAIARAPU OUEST
98747;TAIARAPU EST;98722;TAUTIRA;TAIARAPU EST
98747;TAIARAPU EST;98721;PUEU;TAIARAPU EST
98747;TAIARAPU EST;98720;FAAONE;TAIARAPU EST
98747;TAIARAPU EST;98719;AFAAHITI;TAIARAPU EST
98747;TAIARAPU EST;98719;TARAVAO;TAIARAPU EST
98738;PUNAAUIA;98718;PUNAAUIA;
98736;PIRAE;98716;PIRAE;
98735;PAPEETE;98714;PAPEETE;
98734;PAPARA;98712;PAPARA;
98733;PAEA;98711;PAEA;
98725;MAHINA;98710;OROFARA;MAHINA
98725;MAHINA;98709;MAHINA;
98722;HITIAA O TE RA;98708;TIAREI;HITIAA O TE RA
98722;HITIAA O TE RA;98707;PAPENOO;HITIAA O TE RA
98722;HITIAA O TE RA;98706;MAHAENA;HITIAA O TE RA
98722;HITIAA O TE RA;98705;HITIAA;HITIAA O TE RA
98715;FAAA;98704;FAAA;
98738;PUNAAUIA;98703;PUNAAUIA;
98712;ARUE;98701;ARUE;
98612;SIGAVE;98620;SIGAVE;
98611;ALO;98610;ALO;
98613;UVEA;98600;UVEA;
99138;MONACO;98000;MONACO;
97611;MAMOUDZOU;97680;MAMOUDZOU;COMBANI
97617;TSINGONI;97680;TSINGONI;
97605;CHICONI;97670;CHICONI;
97614;OUANGANI;97670;OUANGANI;
97614;OUANGANI;97670;OUANGANI;COCONI
97603;BANDRELE;97660;BANDRELE;
97607;DEMBENI;97660;DEMBENI;
97602;BANDRABOUA;97650;BANDRABOUA;
97611;MAMOUDZOU;97650;MAMOUDZOU;DZOUMOGNE
97613;M TSANGAMOUJI;97650;M TSANGAMOUJI;
97616;SADA;97640;SADA;
97601;ACOUA;97630;ACOUA;
97612;MTSAMBORO;97630;MTSAMBORO;
97609;KANI KELI;97625;KANI KELI;
97604;BOUENI;97620;BOUENI;
97606;CHIRONGUI;97620;CHIRONGUI;
97608;DZAOUDZI;97615;DZAOUDZI;LABATTOIR
97608;DZAOUDZI;97615;DZAOUDZI;
97615;PAMANDZI;97615;PAMANDZI;
97611;MAMOUDZOU;97605;MAMOUDZOU;PASSAMAINTI
97610;KOUNGOU;97600;KOUNGOU;
97611;MAMOUDZOU;97600;MAMOUDZOU;KAWENI
97611;MAMOUDZOU;97600;MAMOUDZOU;
97501;MIQUELON LANGLADE;97500;ST PIERRE ET MIQUELON;LANGLADE
97501;MIQUELON LANGLADE;97500;ST PIERRE ET MIQUELON;MIQUELON LANGLADE
97502;ST PIERRE;97500;ST PIERRE ET MIQUELON;ST PIERRE
97411;ST DENIS;97490;ST DENIS;BOIS DE NEFLES ST DENIS
97411;ST DENIS;97490;ST DENIS;ST DENIS CHAUDRON
97411;ST DENIS;97490;ST DENIS;STE CLOTILDE
97411;ST DENIS;97490;ST DENIS;LA BRETAGNE
97411;ST DENIS;97490;ST DENIS;MOUFIA
97412;ST JOSEPH;97480;ST JOSEPH;VINCENDO
97412;ST JOSEPH;97480;ST JOSEPH;JEAN PETIT
97412;ST JOSEPH;97480;ST JOSEPH;
97412;ST JOSEPH;97480;ST JOSEPH;LES LIANES
97410;ST BENOIT;97470;ST BENOIT;
97410;ST BENOIT;97470;ST BENOIT;BEAUFONDS
97415;ST PAUL;97460;ST PAUL;BELLEMENE
97415;ST PAUL;97460;ST PAUL;
97415;ST PAUL;97460;ST PAUL;PLATEAU CAILLOUX
97414;ST LOUIS;97450;ST LOUIS;
97417;ST PHILIPPE;97442;ST PHILIPPE;BASSE VALLEE
97417;ST PHILIPPE;97442;ST PHILIPPE;
97420;STE SUZANNE;97441;STE SUZANNE;
